Date,Item_Name,Category,Units_Sold,Unit_Cost,Sales_Price,Waste_Qty,Daily_Revenue,Daily_Cost,Net_Profit
2026-02-04,Wagyu Burger,Main Course,34,150,450,0,15300,5100,10200
2026-02-04,Truffle Pasta,Main Course,24,120,380,4,9120,3360,5760
2026-02-04,Craft Beer,Beverage,25,45,180,2,4500,1215,3285
2026-02-04,Caesar Salad,Appetizer,36,60,250,2,9000,2280,6720
2026-02-04,Red Wine (Glass),Beverage,33,80,320,3,10560,2880,7680
2026-02-05,Wagyu Burger,Main Course,15,150,450,4,6750,2850,3900
2026-02-05,Truffle Pasta,Main Course,39,120,380,3,14820,5040,9780
2026-02-05,Craft Beer,Beverage,28,45,180,3,5040,1395,3645
2026-02-05,Caesar Salad,Appetizer,23,60,250,2,5750,1500,4250
2026-02-05,Red Wine (Glass),Beverage,15,80,320,0,4800,1200,3600
2026-02-06,Wagyu Burger,Main Course,52,150,450,3,23400,8250,15150
2026-02-06,Truffle Pasta,Main Course,68,120,380,0,25840,8160,17680
2026-02-06,Craft Beer,Beverage,28,45,180,4,5040,1440,3600
2026-02-06,Caesar Salad,Appetizer,54,60,250,3,13500,3420,10080
2026-02-06,Red Wine (Glass),Beverage,37,80,320,4,11840,3280,8560
2026-02-07,Wagyu Burger,Main Course,59,150,450,3,26550,9300,17250
2026-02-07,Truffle Pasta,Main Course,30,120,380,4,11400,4080,7320
2026-02-07,Craft Beer,Beverage,63,45,180,0,11340,2835,8505
2026-02-07,Caesar Salad,Appetizer,50,60,250,0,12500,3000,9500
2026-02-07,Red Wine (Glass),Beverage,63,80,320,4,20160,5360,14800
2026-02-08,Wagyu Burger,Main Course,55,150,450,1,24750,8400,16350
2026-02-08,Truffle Pasta,Main Course,43,120,380,2,16340,5400,10940
2026-02-08,Craft Beer,Beverage,37,45,180,4,6660,1845,4815
2026-02-08,Caesar Salad,Appetizer,48,60,250,4,12000,3120,8880
2026-02-08,Red Wine (Glass),Beverage,45,80,320,1,14400,3680,10720
2026-02-09,Wagyu Burger,Main Course,16,150,450,3,7200,2850,4350
2026-02-09,Truffle Pasta,Main Course,29,120,380,0,11020,3480,7540
